,product_name,price
0,"Infinix Smart 6, 6.6"", 2GB RAM, 32GB, 5000mAh,Polar Black",10299
1,"Tecno Pop 6 6.1"", 2GB RAM+32GB, 8MP, 4G (Dual Sim) 5000MAh -Lime Green",8819
2,"XIAOMI Redmi 9A, 6.53"", 2GB+32GB, 13.0MP, 5000mAh, 4G LTE, Dual SIM - Grey",11499
3,"Oppo A83 64GB + 4GB RAM - 4G LTE Dual SIM -  5.7-inch,Red",9990
4,"Infinix Smart 6, 6.6"", 32GB + 2GB RAM (Dual SIM), 5000mAh, Quartz Cyan",10696
5,XIAOMI Redmi 10 6.5'' Inches 4+128GB 50MP Rear Camera 4G Smartphone - Grey,18799
6,"XIAOMI Redmi 10A, 6.53"", 3GB+64GB, 13.0MP, 5000mAh, 4G LTE, Dual SIM - Graphite Grey",14799
7,"Nokia C1 2nd Edition, 5.45"", 1GB +16GB - (DUAL SIM),Android 11, Blue",7139
8,"Tecno Pova Neo, 6.8"", 64GB+ 4GB (Dual SIM),4G LTE, 6000mAh, Obsidian Black",15999
9,"Samsung Galaxy A13, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black",19299
10,"Oppo A16k, 6.52"", 32GB + 3GB RAM (Dual SIM), 4230mAh - Blue",14278
11,"Samsung Galaxy A13, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Blue",19299
12,"Tecno Pop 6 GO, 6"", 32GB + 2GB RAM ,(Dual SIM), 4000mAh,  + CLASSIC GIFTS",9445
13,Samsung Galaxy A03s – 6.5″ – 32GB + 3GB – Dual SIM - Black,13699
14,"Samsung Galaxy A13, 6.6"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Black",21699
15,"Tecno CAMON 19, 6.8"", 128GB+ 4GB (Dual SIM), (4G LTE) 5000mAh, Eco Black",22499
16,"XIAOMI Redmi 9C 6.53'', 4GB+128GB, 13MP+2MP+2MP Camera, 4G, Dual SIM - Lavender Purple",16299
17,"Samsung Galaxy A03 Core, 6.5"" 32GB + 2G, 5000mAh,Dual Sim- (Black) Onyx",11699
18,"Oppo A83 64GB + 4GB RAM - 4G LTE Dual SIM -  5.7-inch,Black",9790
19,"Samsung Galaxy A23, 6.6″, 64GB + 4GB RAM (Dual SIM), 5000mAh, Blue",22499
20,"Itel A14 Plus, 4"", 8GB + 1GB RAM, 2500mAh - Blue",4443
21,"Ulefone Note 6, 6.1"", 32GB + 1GB RAM (Dual SIM), 3300mAh, Black",7599
22,"Samsung Galaxy A03, 6.5"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black",15299
23,"Tecno CAMON 19, 6.8"", 128GB+ 4GB (Dual SIM), (4G LTE) 5000mAh, Eco Black",22599
24,"Infinix HOT 12i, 6.6''{ 64GB+2GB Expandable To 4GBRAM} (Dual SIM), 4G LTE, 5000mAh,black",12995
25,"Samsung Galaxy A03 6.5"" 3GB RAM+32GB ROM 48 MP //Dual SIM-Blue+FREE EARBUDS+C+W",13990
26,"Infinix Smart 6, 6.6"", 2GB RAM, 32GB, Android 10, XOS 7.6, 5000mAh, 3G - Ocean Wave",10695
27,"XIAOMI Redmi 10C 6.71'', 4GB+128GB, 50MP+2MP Camera, 4G, Dual SIM - Blue",19099
28,"Tecno Spark 9T, 6.6"", (64GB ROM + 4GB RAM) , {Dual Sim} , 5000mAh, 4G, QUANTUM BLACK",16590
29,"Infinix Hot 12 Play, 6.82"", 64GB + 4GB RAM (Dual SIM), 6000mAh, 4G - Horizon Blue",15950
30,"Itel A33 Plus,,5.0"" Screen Display(16GB+1GB),Fingerprint,(Dual Sim) Blue,,w.s""",6160
31,Nokia G21 – 6.5″ – 128GB + 4GB – Dual SIM Nordic Blue,18900
32,"XIAOMI Redmi 9A 6.53"", 2GB RAM+32GB, 5000mAh, Dual SIM, 4G LTE - Glacial Blue",11499
33,"XIAOMI Redmi 10C 6.71'', 4GB+64GB, 50MP+2MP Camera, 4G, 5000MAH Battery Dual SIM- Blue",16499
34,"Tecno Spark 8C, 6.6"", 64GB + 2GB RAM (Dual SIM), 5000mAh, Turquoise Cyan",12999
35,"Tecno Spark 8C, 6.6"", 64GB + 3GB RAM (Dual SIM), 5000mAh, Magnet Black",13999
36,"Tecno Pop 6 Go, 6""display Screen Size,(32GB + 2GB) (Dual SIM), 4000mAh,Grey",9599
37,"Itel A58 Lite, 6.3"", 32GB + 2GB RAM (Dual SIM), 4000mAh, Blue Wave",8255
38,"Tecno Spark 8C 6.6"" 64GB+ 2GB RAM Dual Sim, Black + Smart Watch + P.Bank",13898
39,"Samsung Galaxy A13, 6.6"", 128GB + 4GB (Dual SIM), Blue + Smart Watch & Power Bank",22997
